Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Sri Lanka,1/27/20,1,0,0,1,1,0
Sri Lanka,1/28/20,1,0,0,1,1,0
Sri Lanka,1/29/20,1,0,0,1,1,0
Sri Lanka,1/30/20,1,0,0,1,1,0
Sri Lanka,1/31/20,1,0,0,1,1,0
Sri Lanka,02/01/2020,1,0,0,1,1,0
Sri Lanka,02/02/2020,1,0,0,1,1,0
Sri Lanka,02/03/2020,1,0,0,1,1,0
Sri Lanka,02/04/2020,1,0,0,1,1,0
Sri Lanka,02/05/2020,1,0,0,1,1,0
Sri Lanka,02/06/2020,1,0,0,1,1,0
Sri Lanka,02/07/2020,1,0,0,1,1,0
Sri Lanka,02/08/2020,1,1,0,0,1,0
Sri Lanka,02/09/2020,1,1,0,0,1,0
Sri Lanka,02/10/2020,1,1,0,0,1,0
Sri Lanka,02/11/2020,1,1,0,0,1,0
Sri Lanka,02/12/2020,1,1,0,0,1,0
Sri Lanka,2/13/20,1,1,0,0,1,0
Sri Lanka,2/14/20,1,1,0,0,1,0
Sri Lanka,2/15/20,1,1,0,0,1,0
Sri Lanka,2/16/20,1,1,0,0,1,0
Sri Lanka,2/17/20,1,1,0,0,1,0
Sri Lanka,2/18/20,1,1,0,0,1,0
Sri Lanka,2/19/20,1,1,0,0,1,0
Sri Lanka,2/20/20,1,1,0,0,1,0
Sri Lanka,2/21/20,1,1,0,0,1,0
Sri Lanka,2/22/20,1,1,0,0,1,0
Sri Lanka,2/23/20,1,1,0,0,1,0
Sri Lanka,2/24/20,1,1,0,0,1,0
Sri Lanka,2/25/20,1,1,0,0,1,0
Sri Lanka,2/26/20,1,1,0,0,2,0
Sri Lanka,2/27/20,1,1,0,0,2,0
Sri Lanka,2/28/20,1,1,0,0,5,0
Sri Lanka,2/29/20,1,1,0,0,3,0
Sri Lanka,03/01/2020,1,1,0,0,1,0
Sri Lanka,03/02/2020,1,1,0,0,10,0
Sri Lanka,03/03/2020,1,1,0,0,6,0
Sri Lanka,03/04/2020,1,1,0,0,9,0
Sri Lanka,03/05/2020,1,1,0,0,1,0
Sri Lanka,03/06/2020,1,1,0,0,4,0
Sri Lanka,03/07/2020,1,1,0,0,7,0
Sri Lanka,03/08/2020,1,1,0,0,3,0
Sri Lanka,03/09/2020,1,1,0,0,1,0
Sri Lanka,03/10/2020,1,1,0,0,12,0
Sri Lanka,03/11/2020,2,1,0,1,10,0
Sri Lanka,03/12/2020,2,1,0,1,17,0
Sri Lanka,3/13/20,6,1,0,5,25,0
Sri Lanka,3/14/20,10,1,0,9,88,0
Sri Lanka,3/15/20,18,1,0,17,65,0
Sri Lanka,3/16/20,28,1,0,27,89,0
Sri Lanka,3/17/20,44,1,0,43,151,0
Sri Lanka,3/18/20,51,1,0,50,108,0
Sri Lanka,3/19/20,60,3,0,57,162,0
Sri Lanka,3/20/20,73,3,0,70,119,1
Sri Lanka,3/21/20,77,1,0,76,149,1
Sri Lanka,3/22/20,82,3,0,79,174,1
Sri Lanka,3/23/20,97,3,0,94,143,1
Sri Lanka,3/24/20,102,2,0,100,164,1
Sri Lanka,3/25/20,102,3,0,99,128,1
Sri Lanka,3/26/20,106,7,0,99,131,1
Sri Lanka,3/27/20,106,7,0,99,152,1
Sri Lanka,3/28/20,113,9,1,103,108,1
Sri Lanka,3/29/20,117,11,1,105,136,1
Sri Lanka,3/30/20,122,15,2,105,155,1
Sri Lanka,3/31/20,143,17,2,124,224,1
Sri Lanka,04/01/2020,146,21,3,122,219,1
Sri Lanka,04/02/2020,151,21,4,126,250,1
Sri Lanka,04/03/2020,159,24,4,131,311,1
Sri Lanka,04/04/2020,166,27,5,134,295,1
Sri Lanka,04/05/2020,176,33,5,138,324,1
Sri Lanka,04/06/2020,178,38,5,135,394,1
Sri Lanka,04/07/2020,185,42,6,137,353,1
Sri Lanka,04/08/2020,189,44,7,138,376,1
Sri Lanka,04/09/2020,190,49,7,134,287,1
